model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,3,3,0,0.2,by final end,200,60,140,1.0472959310327756,0.4166666666666667,1.0,0.5833333333333334,0.7916666666666667,0.41042899408284017,0.41042899408284017,0.5895710059171598,0.5895710059171598,0.4001923076923076,0.72,0.9759615384615384
mlp,3,3,0,0.2,by earliest stop,200,60,140,1.0472959310327756,0.14583333333333334,0.3269230769230769,0.8541666666666666,0.5905448717948718,0.3073293488518402,0.7735499794323324,0.6926706511481597,0.2264500205676676,0.2979373567608862,0.24,0.7255608974358975
mlp,3,3,0,0.2,fixed horizon 50,200,60,140,1.0719028398355783,0.25,0.40384615384615385,0.75,0.5769230769230769,0.6209523809523809,0.8469230769230769,0.3790476190476191,0.1530769230769231,0.6833333333333335,0.33,0.5881410256410257
mlp,3,3,0,0.2,fixed horizon 100,200,60,140,1.0857239924407385,0.3333333333333333,0.4230769230769231,0.6666666666666666,0.5448717948717948,0.5609090909090908,0.814230769230769,0.4390909090909092,0.18576923076923102,0.628125,0.38,0.6157852564102564
mlp,3,3,0,0.2,fixed horizon 148,200,60,140,1.0874976575412318,0.25,0.46153846153846156,0.75,0.6057692307692308,0.5717905405405405,0.8023648648648648,0.42820945945945954,0.1976351351351352,0.518018018018018,0.36,0.7151442307692307
mlp,3,3,0,0.3,by final end,200,60,140,0.9979620674587861,0.75,1.0,0.25,0.625,0.13095414201183433,0.13095414201183433,0.8690458579881657,0.8690458579881657,0.1170940170940171,0.88,0.9759615384615384
mlp,3,3,0,0.3,by earliest stop,200,60,140,0.9979620674587861,0.6041666666666666,0.75,0.3958333333333333,0.5729166666666666,0.016865487453722745,0.2626491155902921,0.9831345125462773,0.7373508844097079,0.04517794578646505,0.68,0.7255608974358975
mlp,3,3,0,0.3,fixed horizon 50,200,60,140,0.9877577763942487,0.7708333333333334,0.8653846153846154,0.22916666666666666,0.5472756410256411,0.03866666666666667,0.16807692307692304,0.9613333333333334,0.831923076923077,0.1108108108108108,0.82,0.5881410256410257
mlp,3,3,0,0.3,fixed horizon 100,200,60,140,0.998026550787616,0.75,0.9038461538461539,0.25,0.5769230769230769,0.11191489361702127,0.1973076923076923,0.8880851063829788,0.8026923076923077,0.1677777777777778,0.83,0.6157852564102564
mlp,3,3,0,0.3,fixed horizon 148,200,60,140,0.998026550787616,0.7291666666666666,0.8653846153846154,0.2708333333333333,0.5681089743589743,0.1033033033033033,0.224012474012474,0.8966966966966967,0.775987525987526,0.17335907335907333,0.8,0.7151442307692307
mlp,3,3,1,0.01,by final end,200,60,140,1.0595467843177502,0.0,0.46153846153846156,1.0,0.7307692307692308,0.9736378205128204,0.9878328402366865,0.02636217948717956,0.012167159763313506,,0.24,0.9759615384615384
mlp,3,3,1,0.01,by earliest stop,200,60,140,1.0595467843177502,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.01,fixed horizon 50,200,60,140,1.0005644146922525,0.020833333333333332,0.07692307692307693,0.9791666666666666,0.5280448717948718,0.5900000000000001,0.9684615384615385,0.4099999999999999,0.031538461538461515,0.98,0.05,0.5881410256410257
mlp,3,3,1,0.01,fixed horizon 100,200,60,140,1.001111558663465,0.020833333333333332,0.057692307692307696,0.9791666666666666,0.5184294871794871,0.7833333333333333,0.9875,0.21666666666666667,0.012499999999999956,0.91,0.04,0.6157852564102564
mlp,3,3,1,0.01,fixed horizon 148,200,60,140,1.001111558663465,0.020833333333333332,0.057692307692307696,0.9791666666666666,0.5184294871794871,0.5292792792792793,0.9728430353430354,0.4707207207207207,0.0271569646569646,0.6148648648648649,0.04,0.7151442307692307
mlp,3,3,1,0.025,by final end,200,60,140,1.0215353534288891,0.020833333333333332,0.5769230769230769,0.9791666666666666,0.7780448717948718,0.8569871794871795,0.9174926035502958,0.1430128205128205,0.08250739644970417,0.6634615384615384,0.31,0.9759615384615384
mlp,3,3,1,0.025,by earliest stop,200,60,140,1.0215353534288891,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.025,fixed horizon 50,200,60,140,1.0002978007539163,0.08333333333333333,0.1346153846153846,0.9166666666666666,0.5256410256410257,0.5171428571428571,0.935,0.4828571428571429,0.06499999999999995,0.45,0.11,0.5881410256410257
mlp,3,3,1,0.025,fixed horizon 100,200,60,140,1.0006424795360562,0.08333333333333333,0.1346153846153846,0.9166666666666666,0.5256410256410257,0.4657142857142857,0.9280769230769231,0.5342857142857143,0.07192307692307687,0.5075000000000001,0.11,0.6157852564102564
mlp,3,3,1,0.025,fixed horizon 148,200,60,140,1.0006424795360562,0.08333333333333333,0.1346153846153846,0.9166666666666666,0.5256410256410257,0.3146718146718146,0.9077442827442828,0.6853281853281854,0.09225571725571724,0.3429054054054054,0.11,0.7151442307692307
mlp,3,3,1,0.05,by final end,200,60,140,1.2003002714088196,0.08333333333333333,0.8846153846153846,0.9166666666666666,0.9006410256410255,0.8662625418060201,0.8816937869822485,0.13373745819397986,0.11830621301775146,0.8860576923076924,0.5,0.9759615384615384
