comparison_type,left,right,eval_time,left_alpha,right_alpha,n_tasks,delta_realized_fpr,delta_realized_fpr_ci_low,delta_realized_fpr_ci_high,delta_realized_fpr_positive_tasks,delta_catch_rate,delta_catch_rate_ci_low,delta_catch_rate_ci_high,delta_catch_rate_positive_tasks,delta_effective_lead_fraction,delta_effective_lead_fraction_ci_low,delta_effective_lead_fraction_ci_high,delta_effective_lead_fraction_positive_tasks,catch_rate_sign_flip_pvalue_two_sided
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.2,0.2,10,0.0025112701701295675,-0.05003450702583326,0.05792287582346315,4,-0.027461815245080966,-0.08342470216874627,0.03382520467521732,3,-0.008234789362476968,-0.04882599356709649,0.03648450265589196,3,0.4029268292682927
same nominal alpha,shuffled_late24_28_32,baseline32,fixed horizon 37,0.3,0.3,10,0.01061750606320192,-0.048958991252848846,0.0861868968429944,5,-0.03216388496185659,-0.09468231237322518,0.03672417874655955,3,-0.0008042876455655268,-0.05034998380733674,0.05190540750851348,4,0.3853658536585366
independent FPR <= 0.05 operating points,shuffled_late24_28_32,baseline32,fixed horizon 37,0.025,0.025,10,-0.005612776526836787,-0.03250559513418194,0.01171782362464571,6,-0.01632001864486652,-0.0491741576259553,0.010880356941627204,5,-0.005473874012312152,-0.030321854613233924,0.011655607767549947,5,0.42634146341463414
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.01,0.01,10,0.004041415284062344,-0.015417483660130715,0.02547039969834085,3,0.031868030200585984,0.007545661764705884,0.05559283102321387,7,0.005958963740023478,-0.009073458823451083,0.021877326287491627,6,0.04390243902439024
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.025,0.025,10,0.01080075055663291,-0.011145751633986926,0.0327389194139194,4,0.04715811154137726,0.012842461660212679,0.08417752082180821,7,0.008715024986716155,-0.010011106637174992,0.029344596711188053,5,0.04390243902439024
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.05,0.05,10,0.0320468342115401,-0.013876228346816576,0.08338626262626259,5,0.07536622922941383,0.028318320732681788,0.1336430347593582,8,0.01723494204345638,-0.01459808714098712,0.05002338089548756,7,0.012682926829268294
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.075,0.075,10,0.047507312395081394,-0.01094300708845992,0.12011080724492273,7,0.08969684266601102,0.03656466797795397,0.15257410609646138,8,0.023167242574389704,-0.017622195879896337,0.06220405064154393,7,0.00878048780487805
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.1,0.1,10,0.05865107469049363,-0.000753561960914903,0.1379723523808009,8,0.099813815641199,0.04915179738562089,0.1571411663286001,8,0.03239149830949004,-0.012391214734475787,0.07510891369315184,7,0.00878048780487805
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.15,0.15,10,0.05027259937973712,-0.017346646613190717,0.11770300086331624,8,0.10417477684211965,0.049318438868058555,0.15296634926001051,9,0.03325145008562257,-0.026928669744882016,0.0842404295054383,8,0.010731707317073172
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.2,0.2,10,0.06876802176780657,0.005620694475100847,0.13048961553351796,8,0.11381914855109584,0.055156458209546434,0.1638318326008564,8,0.052989933323255675,0.0018539539271456623,0.09591911678871276,9,0.012682926829268294
same nominal alpha,late24_28_32,shuffled_late24_28_32,by earliest stop,0.3,0.3,10,0.04450730469116408,0.006872642854515174,0.08261924755799753,8,0.10231799605247882,0.04541643196672608,0.1579569696969696,8,0.06408334405590389,0.020167404439222013,0.10413020789575074,8,0.010731707317073172
independent FPR <= 0.05 operating points,late24_28_32,shuffled_late24_28_32,by earliest stop,0.01,0.025,10,-0.011252504848093084,-0.039309857789269556,0.012740750915750883,3,0.007736471202901218,-0.019397189670539054,0.034256810344827554,6,-0.007588091317940851,-0.026723745313505593,0.012494666534189616,2,0.5902439024390244
same nominal alpha,late24_28_32,shuffled_late24_28_32,fixed horizon 13,0.01,0.01,10,0.011202494074552908,-0.009166704688285567,0.03348035539215687,6,0.016711951154547506,-0.005197490882455383,0.04159723856209149,6,0.016218306248630784,0.0007700763288998554,0.035148295625942606,6,0.2780487804878049
same nominal alpha,late24_28_32,shuffled_late24_28_32,fixed horizon 13,0.025,0.025,10,0.011446108956403073,-0.010081249999999998,0.03193441544566542,7,0.018489921527649715,-0.0027292445243510205,0.04349323660028266,5,0.01760402259448913,0.002768200843274374,0.03490229116331044,6,0.20390243902439023
same nominal alpha,late24_28_32,shuffled_late24_28_32,fixed horizon 13,0.05,0.05,10,0.02207433409886781,0.0005248595848595861,0.04466368265880461,8,0.026385881123609324,0.0035472743663818797,0.0510332795500645,7,0.01969059442923539,0.00707668257902789,0.03317762917637917,7,0.07902439024390244
same nominal alpha,late24_28_32,shuffled_late24_28_32,fixed horizon 13,0.075,0.075,10,0.03045896910757026,0.008808780570617016,0.05709640283327784,9,0.041719197041408,0.012149661037351206,0.07179047365132053,8,0.028579142730156926,0.012878316768874586,0.044555683532154104,8,0.03609756097560975
