model,cp_seed,alpha,eval_time,roc_auc_max_score_macro,realized_fpr_macro,catch_rate_macro,balanced_accuracy_macro,caught_alarm_fraction_macro,effective_alarm_fraction_macro,caught_lead_fraction_macro,effective_lead_fraction_macro
lstm,1,0.075,by earliest stop,0.6517104515167393,0.1270391090795236,0.250183645496596,0.5615722682085362,0.5921590979867598,0.8847053460244624,0.4078409020132402,0.11529465397553769
lstm,2,0.075,by earliest stop,0.6517104515167393,0.15839033626105764,0.2605171152026926,0.5510633894708175,0.5062051935332513,0.8654167431380901,0.49379480646674867,0.13458325686190986
lstm,3,0.075,by earliest stop,0.6517104515167393,0.12257185503013082,0.2894364836726949,0.5834323143212821,0.725013371056145,0.8959549660011941,0.27498662894385495,0.10404503399880594
lstm,4,0.075,by earliest stop,0.6517104515167393,0.126275506750569,0.21130500882158634,0.5425147510355087,0.45430159009287235,0.8584376891929022,0.5456984099071277,0.14156231080709766
lstm,5,0.075,by earliest stop,0.6517104515167393,0.15589199327567185,0.28407650545726293,0.5640922560907955,0.563790448867408,0.8708386671966244,0.4362095511325919,0.12916133280337572
lstm,6,0.075,by earliest stop,0.6517104515167393,0.09556655110644532,0.2634217799793147,0.5839276144364347,0.5432965735834888,0.8944059816775105,0.4567034264165112,0.10559401832248949
lstm,7,0.075,by earliest stop,0.6517104515167393,0.1601346074933029,0.3406473313095,0.5902563619080985,0.6156394122286171,0.826942933964115,0.3843605877713829,0.17305706603588508
lstm,8,0.075,by earliest stop,0.6517104515167393,0.15978510718770061,0.2583288007036485,0.5492718467579739,0.5546984606715318,0.8844952008716287,0.4453015393284682,0.11550479912837117
lstm,9,0.075,by earliest stop,0.6517104515167393,0.1609569265334444,0.30235864217441705,0.5707008578204863,0.6057227439814664,0.8815525260613043,0.39427725601853353,0.11844747393869573
lstm,0,0.1,by earliest stop,0.6517104515167393,0.20228018289969113,0.3958851689353687,0.5968024930178387,0.5856998588018598,0.817932463846395,0.41430014119814024,0.18206753615360505
lstm,1,0.1,by earliest stop,0.6517104515167393,0.16333164765487765,0.2586709506834659,0.5476696515142941,0.5771924141348901,0.8851608313864071,0.4228075858651099,0.1148391686135928
lstm,2,0.1,by earliest stop,0.6517104515167393,0.19469134777134717,0.3092064006037456,0.5572575264161992,0.4348589281196006,0.8121557074094229,0.5651410718803994,0.18784429259057717
lstm,3,0.1,by earliest stop,0.6517104515167393,0.15953149704296435,0.3840500187196277,0.6122592608383316,0.7359026688613816,0.8810438236046882,0.26409733113861844,0.11895617639531164
lstm,4,0.1,by earliest stop,0.6517104515167393,0.14590985159419181,0.2967011791270709,0.5753956637664396,0.36144233947090015,0.8230765675201639,0.6385576605290999,0.1769234324798361
lstm,5,0.1,by earliest stop,0.6517104515167393,0.23835591016008145,0.39526819824381987,0.5784561440418692,0.5990183178579074,0.8472389263886797,0.4009816821420926,0.15276107361132038
lstm,6,0.1,by earliest stop,0.6517104515167393,0.13798106009154262,0.310278402880791,0.5861486713946242,0.5509252546980835,0.8792758000713142,0.44907474530191643,0.12072419992868584
lstm,7,0.1,by earliest stop,0.6517104515167393,0.21012677996610796,0.40413041879923844,0.5970018194165652,0.584103395800319,0.7942459911363311,0.415896604199681,0.20575400886366885
